uid,genre,aired,episodes,score,start,end
17717,"['Action', 'Mecha', 'Military']","Feb 22, 2013",1.0,7.15,"Feb 22, 2013",
21603,"['Sci-Fi', 'Comedy', 'Super Power', 'Supernatural', 'Romance']","Apr 13, 2014 to Jun 29, 2014",12.0,7.15,"Apr 13, 2014","Jun 29, 2014"
3736,"['Comedy', 'Fantasy']","Apr 14, 2001 to Jan 11, 2002",30.0,5.95,"Apr 14, 2001","Jan 11, 2002"
872,"['Adventure', 'Comedy', 'Fantasy', 'Magic']","Apr 9, 2004 to Mar 4, 2005",40.0,7.15,"Apr 9, 2004","Mar 4, 2005"
7836,['Sports'],"Nov 22, 1990 to Apr 25, 1991",10.0,5.95,"Nov 22, 1990","Apr 25, 1991"
5085,"['Slice of Life', 'Sports', 'Romance', 'Shounen Ai']",2006,1.0,5.95,2006,
32153,"['Drama', 'Magic', 'Psychological', 'Thriller']","Nov 27, 2015",1.0,7.15,"Nov 27, 2015",
1417,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Jul 29, 1994",1.0,7.15,"Jul 29, 1994",
19135,"['Slice of Life', 'Historical', 'Drama', 'Seinen']","Aug 12, 1984",1.0,5.95,"Aug 12, 1984",
23213,"['Comedy', 'Josei', 'Slice of Life']","Apr 4, 2014 to Jul 4, 2014",13.0,5.95,"Apr 4, 2014","Jul 4, 2014"
7461,"['Comedy', 'Fantasy']","Nov 7, 2009",1.0,5.95,"Nov 7, 2009",
11715,['Comedy'],"Sep 21, 2011 to Feb 22, 2012",6.0,5.95,"Sep 21, 2011","Feb 22, 2012"
510,"['Comedy', 'Drama', 'Harem', 'Romance', 'School']","Oct 2, 2004 to Dec 25, 2004",13.0,5.95,"Oct 2, 2004","Dec 25, 2004"
16317,"['Comedy', 'School', 'Seinen']","Jan 6, 2013 to Mar 24, 2013",12.0,5.95,"Jan 6, 2013","Mar 24, 2013"
33434,"['Sci-Fi', 'Comedy', 'Parody', 'Kids']","Sep 18, 2016 to Sep 24, 2017",50.0,5.95,"Sep 18, 2016","Sep 24, 2017"
18587,['Kids'],"Mar 21, 1994",1.0,5.95,"Mar 21, 1994",
35554,['Music'],"Aug 11, 2016",1.0,5.95,"Aug 11, 2016",
2775,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Mecha']","Mar 2, 1994 to Jul 21, 1994",5.0,5.95,"Mar 2, 1994","Jul 21, 1994"
36797,"['Comedy', 'Fantasy']","Jan 9, 2018 to Mar 27, 2018",12.0,5.95,"Jan 9, 2018","Mar 27, 2018"
19165,"['Comedy', 'Parody']","Jul 13, 2013 to Mar 19, 2016",2.0,5.95,"Jul 13, 2013","Mar 19, 2016"
2754,"['Action', 'Adventure', 'Sci-Fi']","Apr 28, 1989 to May 24, 1991",3.0,5.95,"Apr 28, 1989","May 24, 1991"
9868,"['Historical', 'Kids']",1987 to 1988,180.0,5.95,1987,1988
56,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","Oct 2, 2003 to Dec 25, 2003",13.0,5.95,"Oct 2, 2003","Dec 25, 2003"
32670,"['Action', 'Game', 'Kids', 'Fantasy']","Apr 6, 2016 to Mar 29, 2017",51.0,5.95,"Apr 6, 2016","Mar 29, 2017"
37387,"['Fantasy', 'Shoujo']","Jun 20, 2007",1.0,5.96,"Jun 20, 2007",
22603,"['Adventure', 'Fantasy', 'Kids']","Oct 21, 1993",1.0,5.95,"Oct 21, 1993",
9393,"['Action', 'Magic']","Jan 27, 2011 to Feb 24, 2011",2.0,5.96,"Jan 27, 2011","Feb 24, 2011"
16570,['Kids'],"Jul 24, 1996",1.0,5.95,"Jul 24, 1996",
38488,['Music'],"Oct 16, 2018",1.0,5.96,"Oct 16, 2018",
7876,"['Adventure', 'Kids', 'Fantasy']",1982,1.0,5.96,1982,
13673,"['Historical', 'Shoujo']","Jan 26, 2012",1.0,5.96,"Jan 26, 2012",
33430,['Comedy'],"Feb 28, 2011 to Jun 15, 2011",78.0,5.96,"Feb 28, 2011","Jun 15, 2011"
3630,"['Comedy', 'Magic', 'School', 'Sci-Fi', 'Shoujo', 'Super Power']","Oct 1, 1973 to Mar 25, 1974",25.0,5.96,"Oct 1, 1973","Mar 25, 1974"
37548,['Sci-Fi'],"Jun 6, 2016",1.0,5.96,"Jun 6, 2016",
38936,"['Fantasy', 'Mystery', 'Supernatural']","Dec 31, 2018",1.0,7.15,"Dec 31, 2018",
2077,"['Mystery', 'School', 'Shounen']","Dec 14, 1996",1.0,7.15,"Dec 14, 1996",
39538,"['Comedy', 'Demons', 'Fantasy', 'Seinen', 'Supernatural']","Sep 20, 2019 to 2020",3.0,7.13,"Sep 20, 2019",2020
729,"['Comedy', 'Romance', 'School', 'Shoujo', 'Sports']","Mar 29, 1987 to Mar 20, 1988",48.0,7.15,"Mar 29, 1987","Mar 20, 1988"
23619,"['Comedy', 'Ecchi', 'Parody']","Apr 1, 2014",1.0,7.15,"Apr 1, 2014",
323,"['Mystery', 'Dementia', 'Police', 'Psychological', 'Supernatural', 'Drama', 'Thriller']","Feb 3, 2004 to May 18, 2004",13.0,7.72,"Feb 3, 2004","May 18, 2004"
39196,"['Comedy', 'Demons', 'Fantasy', 'School', 'Shounen', 'Supernatural']","Oct 5, 2019 to ?",23.0,7.71,"Oct 5, 2019",?
1016,"['Drama', 'Mecha', 'Sci-Fi', 'Shounen']","Jun 21, 1993 to Aug 21, 1993",2.0,7.15,"Jun 21, 1993","Aug 21, 1993"
3299,"['Harem', 'Romance', 'School']","Jan 4, 2008 to Mar 21, 2008",12.0,7.15,"Jan 4, 2008","Mar 21, 2008"
243,"['Comedy', 'Music', 'Romance', 'Shoujo', 'Shounen Ai']","Oct 4, 2000 to Jan 10, 2001",13.0,7.15,"Oct 4, 2000","Jan 10, 2001"
1412,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 24, 1971 to Mar 26, 1972",23.0,7.72,"Oct 24, 1971","Mar 26, 1972"
13183,"['Action', 'Fantasy', 'Supernatural']","Mar 25, 2012 to Apr 1, 2012",2.0,7.15,"Mar 25, 2012","Apr 1, 2012"
30743,"['Slice of Life', 'Comedy']","Jul 10, 2015",1.0,5.96,"Jul 10, 2015",
992,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Mecha', 'Shounen']","Apr 8, 1999 to Jul 1, 1999",13.0,7.15,"Apr 8, 1999","Jul 1, 1999"
6361,"['Drama', 'Music']","Aug 24, 2007",1.0,7.15,"Aug 24, 2007",
5197,"['Adventure', 'Fantasy', 'Sports', 'Comedy', 'Shounen']","May 7, 1993 to Mar 6, 1994",39.0,7.15,"May 7, 1993","Mar 6, 1994"
27997,['Magic'],"Dec 28, 2014",2.0,5.96,"Dec 28, 2014",
1683,"['Comedy', 'Fantasy', 'Sci-Fi']","Apr 6, 2003 to Mar 28, 2004",104.0,7.15,"Apr 6, 2003","Mar 28, 2004"
4091,['Slice of Life'],"Oct 17, 2004",1.0,5.96,"Oct 17, 2004",
8364,"['Action', 'Adventure', 'Comedy', 'Historical', 'Fantasy', 'Seinen']","Apr 17, 2004",1.0,7.15,"Apr 17, 2004",
7471,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",2005,1.0,7.72,2005,
33144,"['Horror', 'Drama', 'Fantasy']","Jul, 2006",1.0,5.96,"Jul, 2006",
9045,"['Adventure', 'Kids', 'Fantasy']",1989,1.0,5.96,1989,
4210,"['Drama', 'Military']","Nov 21, 1987",1.0,5.96,"Nov 21, 1987",
37577,['Comedy'],"Sep 30, 2017",3.0,5.96,"Sep 30, 2017",
32747,['Music'],"Aug 1, 2014",1.0,5.96,"Aug 1, 2014",
19521,['Music'],"Jul 17, 2013",1.0,5.96,"Jul 17, 2013",
39063,"['Action', 'Demons', 'Fantasy', 'Magic', 'Supernatural']","Apr 8, 2019 to Jun 24, 2019",12.0,5.96,"Apr 8, 2019","Jun 24, 2019"
8855,['Fantasy'],"Nov 21, 1991 to Dec 21, 1991",4.0,5.96,"Nov 21, 1991","Dec 21, 1991"
37590,"['Action', 'Demons', 'Horror', 'Supernatural']","Mar 24, 2018",1.0,5.96,"Mar 24, 2018",
35952,"['Action', 'Horror', 'Demons', 'Supernatural']",1999,1.0,5.96,1999,
18599,"['Comedy', 'Shoujo']","Mar 17, 2013",1.0,5.96,"Mar 17, 2013",
7771,"['Fantasy', 'Music', 'Kids']","Sep 10, 1977",1.0,5.96,"Sep 10, 1977",
9991,"['Kids', 'Adventure']","Aug 23, 1981",1.0,5.96,"Aug 23, 1981",
33940,"['Slice of Life', 'Drama']","Sep 12, 2012 to Sep 19, 2014",3.0,5.96,"Sep 12, 2012","Sep 19, 2014"
2882,"['Kids', 'Adventure', 'Fantasy', 'Historical', 'Sci-Fi']","Oct 9, 1981 to Mar 29, 1982",26.0,5.96,"Oct 9, 1981","Mar 29, 1982"
7939,"['Adventure', 'Fantasy', 'Comedy', 'Dementia', 'Music', 'Mystery']",2006 to 2009,13.0,5.96,2006,2009
31965,"['Comedy', 'Magic', 'Shoujo']","Apr 19, 2013 to Apr, 2014",52.0,5.96,"Apr 19, 2013","Apr, 2014"
5157,"['Action', 'Adventure', 'Dementia', 'Historical', 'Military', 'Mystery', 'Shounen', 'Supernatural']","Oct 7, 2000",1.0,5.96,"Oct 7, 2000",
2689,"['Sci-Fi', 'Adventure']","Jun 21, 1988",1.0,5.96,"Jun 21, 1988",
35410,['Kids'],1932,1.0,5.96,1932,
17086,['Kids'],"May 5, 1988",7.0,5.96,"May 5, 1988",
33966,"['Adventure', 'Fantasy']","Jul 5, 2018 to Sep 20, 2018",12.0,5.97,"Jul 5, 2018","Sep 20, 2018"
4264,"['Action', 'Sci-Fi']","Jul 1, 2008 to Sep 16, 2008",12.0,5.97,"Jul 1, 2008","Sep 16, 2008"
7844,['Dementia'],2008,1.0,5.97,2008,
3498,"['Action', 'Historical', 'Demons', 'Martial Arts', 'Samurai']","Jul 26, 2006",1.0,5.97,"Jul 26, 2006",
216,"['Comedy', 'Romance']","Oct 19, 2002",1.0,5.97,"Oct 19, 2002",
3157,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance']","Jan 28, 2005 to Mar 25, 2005",4.0,5.97,"Jan 28, 2005","Mar 25, 2005"
39840,"['Music', 'Slice of Life', 'School']","May 17, 2019",1.0,5.97,"May 17, 2019",
20353,"['Demons', 'Horror', 'School']","Oct 21, 1995 to Dec 12, 1997",6.0,5.97,"Oct 21, 1995","Dec 12, 1997"
34878,"['Sci-Fi', 'Comedy', 'Shounen']",1984,1.0,5.97,1984,
29876,"['Action', 'Sci-Fi', 'Comedy', 'Romance', 'Fantasy', 'Mecha', 'School']","Jul 23, 2015 to Dec 17, 2015",6.0,5.97,"Jul 23, 2015","Dec 17, 2015"
21523,"['Action', 'Game', 'Shounen']","Apr 6, 2013 to Dec 28, 2013",39.0,5.97,"Apr 6, 2013","Dec 28, 2013"
1351,"['Action', 'Sci-Fi', 'Police']","Sep 1, 1989 to May 20, 1994",6.0,5.97,"Sep 1, 1989","May 20, 1994"
38907,"['Demons', 'Kids']","Dec 26, 2018",1.0,5.98,"Dec 26, 2018",
11541,['Comedy'],"Oct 16, 2011 to Mar 31, 2013",38.0,5.97,"Oct 16, 2011","Mar 31, 2013"
36858,"['Action', 'Demons', 'Fantasy', 'Magic', 'Supernatural']","Oct 6, 2018",1.0,5.98,"Oct 6, 2018",
1452,"['Comedy', 'Romance', 'School', 'Shounen']","Nov 1, 1987",1.0,5.98,"Nov 1, 1987",
8829,"['Comedy', 'Slice of Life']","Apr 11, 1991 to Dec 28, 1991",37.0,5.98,"Apr 11, 1991","Dec 28, 1991"
15769,['Fantasy'],"Jul 27, 2012 to Dec 21, 2012",6.0,5.98,"Jul 27, 2012","Dec 21, 2012"
27453,"['Kids', 'Music']",2006,14.0,5.98,2006,
37865,"['Action', 'Adventure', 'Kids', 'Fantasy']","Oct 7, 1997",1.0,5.98,"Oct 7, 1997",
22849,['Comedy'],"Jan 12, 2014 to Mar 30, 2014",12.0,5.98,"Jan 12, 2014","Mar 30, 2014"
31890,"['Comedy', 'Magic', 'Parody']","Jan 10, 2016 to Mar 27, 2016",12.0,5.98,"Jan 10, 2016","Mar 27, 2016"
1155,"['Adventure', 'Comedy', 'Sci-Fi', 'Space']","May 25, 1999 to May 25, 2000",6.0,5.98,"May 25, 1999","May 25, 2000"
8180,"['Adventure', 'Comedy']","Apr 25, 2007",1.0,5.98,"Apr 25, 2007",
37542,['Music'],"Dec 29, 2017",1.0,5.98,"Dec 29, 2017",
34851,['Dementia'],"Nov, 2016",1.0,5.98,"Nov, 2016",
32943,['Sports'],"Mar 25, 2016",1.0,5.98,"Mar 25, 2016",
11543,"['Action', 'Music']","Jul 20, 2011",1.0,5.98,"Jul 20, 2011",
9501,"['Adventure', 'Fantasy', 'Historical']","Jul 28, 2005",1.0,5.98,"Jul 28, 2005",
38807,"['Action', 'Adventure', 'Fantasy']","Dec 16, 2018",1.0,5.98,"Dec 16, 2018",
3525,"['Action', 'Sci-Fi', 'Music', 'Dementia', 'Horror']","Jan 1, 1995",1.0,5.98,"Jan 1, 1995",
17733,"['Comedy', 'Slice of Life']","Apr 7, 2013 to Mar 30, 2014",39.0,5.98,"Apr 7, 2013","Mar 30, 2014"
27417,"['Harem', 'School', 'Vampire', 'Shoujo']","Feb 26, 2015",1.0,5.98,"Feb 26, 2015",
10039,['Comedy'],"Dec 29, 1989",2.0,5.98,"Dec 29, 1989",
39323,['Music'],"May 27, 2015",1.0,5.98,"May 27, 2015",
39962,['Music'],"Jun 20, 2019",1.0,5.98,"Jun 20, 2019",
33730,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","Feb 11, 2017",1.0,7.15,"Feb 11, 2017",
2561,"['Action', 'Adventure', 'Sci-Fi', 'Shounen']","Nov 7, 1978 to Dec 18, 1979",52.0,7.15,"Nov 7, 1978","Dec 18, 1979"
9539,"['Action', 'Adventure', 'Demons', 'Game', 'Shounen']","Jan 8, 2011 to Mar 31, 2012",65.0,7.15,"Jan 8, 2011","Mar 31, 2012"
3460,"['Kids', 'Adventure', 'Fantasy']","Oct 6, 1986 to Mar 30, 1987",26.0,7.15,"Oct 6, 1986","Mar 30, 1987"
37451,"['Psychological', 'Mystery', 'Horror']","Jan 4, 2019 to Mar 29, 2019",18.0,7.15,"Jan 4, 2019","Mar 29, 2019"
9907,['Music'],"Aug 13, 2010",1.0,7.15,"Aug 13, 2010",
14027,"['Harem', 'Slice of Life', 'Comedy', 'Romance', 'School']","Sep 26, 2012",1.0,7.15,"Sep 26, 2012",
12079,"['Action', 'Music']","Jun 13, 2008",1.0,7.15,"Jun 13, 2008",
32230,"['Adventure', 'Fantasy']",1999 to ?,52.0,7.16,1999,?
21085,"['Action', 'Fantasy', 'Magic', 'Seinen', 'Supernatural']","Jan 5, 2014 to Mar 23, 2014",12.0,7.16,"Jan 5, 2014","Mar 23, 2014"
36191,['Music'],"Sep 20, 2017",1.0,5.98,"Sep 20, 2017",
21439,"['Comedy', 'Harem', 'Music', 'Romance', 'School', 'Shoujo']","Apr 5, 2015 to Jun 28, 2015",13.0,7.16,"Apr 5, 2015","Jun 28, 2015"
31164,"['Slice of Life', 'Kids', 'Supernatural']","Jun 24, 2015",1.0,5.98,"Jun 24, 2015",
6443,"['Action', 'Ecchi', 'Adventure', 'Comedy']","Jul 6, 2009 to Dec 22, 2009",3.0,5.98,"Jul 6, 2009","Dec 22, 2009"
32609,['Adventure'],"Dec 16, 2015",1.0,5.99,"Dec 16, 2015",
37481,"['Music', 'Slice of Life']","Jul 6, 2018 to Sep 21, 2018",12.0,5.99,"Jul 6, 2018","Sep 21, 2018"
37151,"['Action', 'Super Power', 'Kids']","Jul 30, 2018 to Oct 22, 2018",13.0,5.99,"Jul 30, 2018","Oct 22, 2018"
1912,"['Romance', 'School', 'Shounen Ai']","Oct 2, 2006 to Dec 25, 2006",13.0,5.99,"Oct 2, 2006","Dec 25, 2006"
7376,"['Drama', 'Fantasy', 'Romance']","Mar 3, 1979",1.0,5.99,"Mar 3, 1979",
17351,"['Comedy', 'Slice of Life']","May 24, 2013",1.0,5.99,"May 24, 2013",
37026,"['Sci-Fi', 'Comedy']","May 27, 2016 to Oct 28, 2016",6.0,5.99,"May 27, 2016","Oct 28, 2016"
32600,"['Music', 'Romance']","Jan 27, 2016",1.0,5.99,"Jan 27, 2016",
37446,"['Fantasy', 'Harem']","Jul 8, 2018 to Sep 23, 2018",12.0,5.99,"Jul 8, 2018","Sep 23, 2018"
31977,"['Slice of Life', 'Romance', 'Music', 'Drama']","Oct 29, 2015",1.0,5.99,"Oct 29, 2015",
24855,"['School', 'Slice of Life']","Oct 13, 2014 to Dec 29, 2014",12.0,5.99,"Oct 13, 2014","Dec 29, 2014"
294,"['Adventure', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']","Jul 2, 2003 to Sep 24, 2003",13.0,5.99,"Jul 2, 2003","Sep 24, 2003"
29974,"['Harem', 'School', 'Shoujo', 'Vampire']","Sep 24, 2015 to Dec 10, 2015",12.0,5.99,"Sep 24, 2015","Dec 10, 2015"
18881,"['Supernatural', 'School']","Apr 23, 2010",1.0,5.99,"Apr 23, 2010",
10799,['Music'],"Jun 1, 2011",1.0,5.99,"Jun 1, 2011",
5397,['Comedy'],"Oct 13, 2008 to May 25, 2009",13.0,7.16,"Oct 13, 2008","May 25, 2009"
3738,"['Adventure', 'Comedy']","Oct 8, 2007 to Jan 15, 2008",13.0,7.16,"Oct 8, 2007","Jan 15, 2008"
2429,"['Adventure', 'Fantasy', 'Kids']","Jul 16, 1983",1.0,7.16,"Jul 16, 1983",
30547,"['Magic', 'Fantasy']","May 11, 2014",1.0,7.16,"May 11, 2014",
566,"['Action', 'Comedy', 'Sci-Fi', 'Shounen']","Jul 25, 1996 to Feb 25, 1997",4.0,7.16,"Jul 25, 1996","Feb 25, 1997"
2452,"['Action', 'Adventure', 'Sci-Fi', 'Space']","Jul 3, 1982",1.0,7.16,"Jul 3, 1982",
11441,"['Action', 'Samurai', 'Historical', 'Drama', 'Shounen']","Dec 17, 2011 to Jun 23, 2012",2.0,7.16,"Dec 17, 2011","Jun 23, 2012"
3186,"['Drama', 'Romance', 'Fantasy']","Mar 14, 1981",1.0,7.16,"Mar 14, 1981",
1118,"['Action', 'Adventure', 'Comedy', 'Kids', 'Drama', 'Fantasy']","Jul 8, 2000",1.0,7.16,"Jul 8, 2000",
32553,"['Harem', 'Comedy', 'Parody', 'Magic', 'Romance', 'Shounen']","Jan 4, 2016",2.0,7.16,"Jan 4, 2016",
442,"['Adventure', 'Comedy', 'Historical', 'Supernatural', 'Drama', 'Shounen']","Aug 21, 2004",1.0,7.16,"Aug 21, 2004",
1429,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Jul 30, 2004",1.0,7.16,"Jul 30, 2004",
34784,"['Comedy', 'Sports', 'School', 'Shounen']","Jan 27, 2017",1.0,7.16,"Jan 27, 2017",
911,"['Adventure', 'Shounen', 'Supernatural']","Aug 6, 2005",1.0,7.16,"Aug 6, 2005",
3121,"['Comedy', 'Ecchi', 'School']","Sep 11, 2007 to Jan 21, 2011",3.0,7.16,"Sep 11, 2007","Jan 21, 2011"
20505,"['Slice of Life', 'Drama']","May 14, 2001",1.0,7.16,"May 14, 2001",
36305,"['Romance', 'School']","Oct 26, 2016",1.0,7.17,"Oct 26, 2016",
16033,"['Fantasy', 'Josei', 'Sci-Fi']","Oct 25, 2012",1.0,7.16,"Oct 25, 2012",
34176,"['Action', 'Adventure', 'Magic', 'Fantasy']","Apr 10, 2017 to Jun 26, 2017",12.0,7.17,"Apr 10, 2017","Jun 26, 2017"
1264,"['Adventure', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 30, 1988 to Mar 4, 1989",39.0,7.17,"Apr 30, 1988","Mar 4, 1989"
732,"['Action', 'Sci-Fi', 'Horror', 'Supernatural', 'Vampire']","Dec 21, 1985",1.0,7.17,"Dec 21, 1985",
37579,"['Comedy', 'Shoujo Ai', 'Slice of Life', 'Supernatural', 'Vampire']","Oct 5, 2018 to Dec 21, 2018",12.0,7.17,"Oct 5, 2018","Dec 21, 2018"
16742,"['Slice of Life', 'Comedy', 'School']","Jul 9, 2013 to Sep 24, 2013",12.0,7.17,"Jul 9, 2013","Sep 24, 2013"
8909,['Comedy'],"Mar 25, 2010 to Feb 25, 2011",4.0,7.17,"Mar 25, 2010","Feb 25, 2011"
5830,"['Kids', 'Comedy']","Mar 3, 1988 to Aug 30, 1989",59.0,7.17,"Mar 3, 1988","Aug 30, 1989"
678,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Super Power', 'Drama', 'Shounen']","Jul 3, 1998 to Dec 25, 1998",26.0,7.17,"Jul 3, 1998","Dec 25, 1998"
37569,"['Action', 'Historical', 'Supernatural', 'Vampire']","Jul 12, 2018 to Sep 27, 2018",12.0,7.17,"Jul 12, 2018","Sep 27, 2018"
2109,"['Action', 'Adventure', 'Game', 'Mecha', 'School', 'Sci-Fi', 'Shounen']","Oct 2, 2004 to Sep 24, 2005",51.0,7.17,"Oct 2, 2004","Sep 24, 2005"
19923,"['Romance', 'School', 'Shoujo']","Mar 21, 1993",1.0,5.99,"Mar 21, 1993",
14183,"['Romance', 'Drama', 'Shounen']","Aug 1, 1987",1.0,5.99,"Aug 1, 1987",
366,"['Action', 'Ecchi', 'Adventure', 'Comedy', 'Sci-Fi']","Apr 25, 1997 to Apr 25, 1999",7.0,5.99,"Apr 25, 1997","Apr 25, 1999"
34862,"['Action', 'Fantasy']","Dec 9, 2016",1.0,6.0,"Dec 9, 2016",
17965,"['Action', 'Mecha', 'Sci-Fi']","Jul 20, 1999",1.0,6.0,"Jul 20, 1999",
21037,"['Sci-Fi', 'Mystery', 'Space', 'Fantasy']","Oct 5, 2010",1.0,6.0,"Oct 5, 2010",
12881,"['Comedy', 'Drama', 'Harem', 'Romance', 'Sci-Fi']","Dec 12, 2004",4.0,6.0,"Dec 12, 2004",
1786,"['Comedy', 'Ecchi', 'Romance', 'School']","Apr 21, 1997 to Aug 8, 1997",2.0,6.0,"Apr 21, 1997","Aug 8, 1997"
21937,"['Comedy', 'Fantasy', 'Kids']","Mar 14, 1992",1.0,6.0,"Mar 14, 1992",
1098,"['Adventure', 'Comedy', 'Fantasy', 'Shounen']","Jul 30, 2001 to Oct 22, 2001",13.0,6.0,"Jul 30, 2001","Oct 22, 2001"
13307,"['Action', 'Adventure', 'Samurai', 'Shounen']","Jun 7, 1964 to Aug 31, 1965",65.0,6.0,"Jun 7, 1964","Aug 31, 1965"
35625,"['Fantasy', 'Game', 'Magic', 'Music']","Jan 27, 2017",1.0,6.0,"Jan 27, 2017",
37736,"['Comedy', 'Psychological', 'Magic', 'School']","Feb 13, 2018 to Mar 22, 2018",2.0,6.0,"Feb 13, 2018","Mar 22, 2018"
38056,"['Comedy', 'Parody', 'Supernatural']","Jul 2, 2018",1.0,6.0,"Jul 2, 2018",
27451,['Kids'],"Dec 3, 2005 to May 28, 2006",52.0,6.0,"Dec 3, 2005","May 28, 2006"
17521,"['Adventure', 'Kids']","Nov 25, 1963 to Aug 16, 1965",86.0,6.0,"Nov 25, 1963","Aug 16, 1965"
361,"['Romance', 'Drama']","Nov 21, 2001 to Mar 6, 2002",3.0,6.0,"Nov 21, 2001","Mar 6, 2002"
21013,"['Action', 'Kids', 'Super Power']","Apr 2, 2014 to Mar 25, 2015",51.0,6.0,"Apr 2, 2014","Mar 25, 2015"
28989,['Dementia'],"Aug 25, 2014",1.0,6.0,"Aug 25, 2014",
3258,"['Space', 'Horror', 'Sci-Fi']","Sep 1, 1987",1.0,6.0,"Sep 1, 1987",
37533,['Music'],"Jul 3, 2015",1.0,6.0,"Jul 3, 2015",
36021,[],"Dec 29, 2016",1.0,6.0,"Dec 29, 2016",
18747,"['Drama', 'Kids']","Apr 23, 1991",1.0,6.0,"Apr 23, 1991",
22447,"['Fantasy', 'Kids']","Oct 26, 2001",1.0,6.0,"Oct 26, 2001",
11521,"['Comedy', 'Fantasy', 'Kids']","Apr 4, 2006 to Sep 19, 2006",13.0,6.0,"Apr 4, 2006","Sep 19, 2006"
31454,"['Action', 'Mecha', 'Sci-Fi', 'Space']","Mar 21, 2015",1.0,6.0,"Mar 21, 2015",
3060,"['Action', 'Sci-Fi', 'Mecha']","Dec 21, 1983 to Jul 5, 1984",4.0,6.0,"Dec 21, 1983","Jul 5, 1984"
23551,"['Comedy', 'Slice of Life']","Jul 8, 2014 to Sep 23, 2014",12.0,6.0,"Jul 8, 2014","Sep 23, 2014"
12221,"['Fantasy', 'Magic', 'Shoujo']","Mar 17, 2012",1.0,7.17,"Mar 17, 2012",
1108,"['Magic', 'Adventure', 'Fantasy', 'Supernatural', 'Historical', 'Shounen']","Jul 3, 1999 to Dec 25, 1999",26.0,7.17,"Jul 3, 1999","Dec 25, 1999"
4191,"['Adventure', 'Fantasy']","Oct 4, 1998 to Mar 28, 1999",25.0,7.17,"Oct 4, 1998","Mar 28, 1999"
7261,['Comedy'],"Mar, 2008 to 2013",24.0,7.16,"Mar, 2008",2013
4926,"['Adventure', 'Drama']","Apr 2, 1999",1.0,7.16,"Apr 2, 1999",
26303,"['Drama', 'Fantasy', 'Music']",1998,1.0,6.0,1998,
1269,"['Action', 'Demons', 'Horror']","Dec 8, 1995",1.0,6.0,"Dec 8, 1995",
28433,"['Slice of Life', 'Music', 'Drama', 'Sci-Fi']","Nov 16, 2014",1.0,6.0,"Nov 16, 2014",
20855,"['Dementia', 'Music', 'Horror']","Feb 3, 2012",1.0,6.0,"Feb 3, 2012",
39258,['Music'],"Apr 12, 2016 to May 18, 2016",2.0,6.0,"Apr 12, 2016","May 18, 2016"
26013,"['Comedy', 'Kids', 'Parody']",2008,2.0,6.0,2008,
33978,"['Military', 'Historical']",1985,1.0,6.0,1985,
18205,"['Slice of Life', 'Comedy']","Apr 17, 2014 to Jul 3, 2014",12.0,6.01,"Apr 17, 2014","Jul 3, 2014"
27789,"['Slice of Life', 'Fantasy', 'Music', 'Drama']","Oct 1, 2014",1.0,6.01,"Oct 1, 2014",
6822,"['Comedy', 'Slice of Life']","Jun 29, 2009 to Jan 2, 2010",26.0,6.01,"Jun 29, 2009","Jan 2, 2010"
6809,['Horror'],"Aug 8, 2008",1.0,6.01,"Aug 8, 2008",
16728,"['Action', 'Adventure', 'Martial Arts', 'Shounen']","Jul 9, 1988",1.0,6.01,"Jul 9, 1988",
35137,"['Action', 'Comedy', 'Mecha']","Jul 21, 1983",1.0,6.01,"Jul 21, 1983",
1226,"['Action', 'Adventure', 'Space', 'Comedy', 'Romance', 'Drama', 'Sci-Fi']","Apr 7, 1999 to Jun 30, 1999",13.0,6.01,"Apr 7, 1999","Jun 30, 1999"
32961,"['Action', 'Sci-Fi', 'Mecha']","Jul 7, 2016 to Nov 24, 2016",13.0,6.01,"Jul 7, 2016","Nov 24, 2016"
22735,['Game'],"Apr 7, 2014 to Mar 30, 2015",51.0,6.01,"Apr 7, 2014","Mar 30, 2015"
23423,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']","Aug 29, 2014 to Aug 29, 2016",3.0,6.01,"Aug 29, 2014","Aug 29, 2016"
16345,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Shounen']","Oct, 1994",1.0,6.01,"Oct, 1994",
10353,"['Comedy', 'Seinen']","Apr 12, 1991 to Feb 6, 1992",3.0,6.01,"Apr 12, 1991","Feb 6, 1992"
2305,"['Mecha', 'Parody', 'Sci-Fi']","Mar 23, 1990",6.0,6.01,"Mar 23, 1990",
